_id,OBJECTID,PROJ_NUM,LAST_UPDATED_DATE,PROJECT,LOCATION,DETAILS,DURATION/ Construction Timeline,STATUS,INV_PRIORITY,OWNER,CONTACT_NAME,CONTACT_EMAIL,INV_WEB_SITE,INV_DISPLAY_PROGRAM,INV_DISPLAY_SYMBOL,START_YEAR,CONTR_NUMBER,geometry
52,1833890, ,2022-02-23,Local Road Rehabilitation,REGENT ST<br> From: ST BARTHOLOMEW ST<br> To: DUNDAS ST E ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",Q2 2025 - Q2 2026,Active,None,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.3642448102262, 43.6591221669688], [-79.3644998925049, 43.6597622852683]]]}"
53,1833934, ,2022-02-23,Local Road Rehabilitation,PEVERIL HILL N<br> From: DEWBOURNE AVE<br> To: EGLINTON AVE W ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",Q3 2025 - Q4 2025,Active,None,Transportation Services,"Lucas Da Costa, Engineering and Construction Services",ldacost@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.4258025350152, 43.6985525046105], [-79.4263178470572, 43.6998619666502], [-79.4264505271345, 43.7001847840807], [-79.4265108929743, 43.700331642819], [-79.4266864626875, 43.7007588213682]]]}"
54,1834000, ,2022-02-23,Local Road Rehabilitation,REGENT ST<br> From: ST DAVID WALK<br> To: ST BARTHOLOMEW ST ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",Q2 2025 - Q2 2026,Active,None,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.3640219851897, 43.658529685528], [-79.3642448102262, 43.6591221669688]]]}"
55,1845429, ,2022-03-25,Local Road Reconstruction,OLD YONGE ST<br> From: MILL ST (N YK)<br> To: CAMPBELL CRES ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q3 2022 - Q3 2024 (Carry-Over),Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2022,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.4032644018339, 43.7407292612203], [-79.4033044778074, 43.7407911064937], [-79.4033588836928, 43.7408821548181], [-79.4033669057605, 43.7408964465329], [-79.4034169943806, 43.7409856009223], [-79.4034644810647, 43.7411179319303], [-79.4034730486508, 43.7412254587053], [-79.4034575088141, 43.7413156287743], [-79.4034308181227, 43.741391504488], [-79.4034032552257, 43.7414615646714], [-79.4033485791542, 43.741514949673]]]}"
56,1848817, ,2022-04-01,Local Road Reconstruction,DONINO AVE<br> From: BROOKFIELD RD<br> To: DON RIVER BRIDGE ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q3 2022 - Q3 2024 (Carry-Over),Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2022,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.4028440904274, 43.7400970011927], [-79.4032644018339, 43.7407292612203]]]}"
57,1892087, ,2022-06-15,Local Road Reconstruction,TORLAKE CRES<br> From: KIPLING AVE<br> To: KIPLING AVE ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q3 2023 - Q4 2024 (Carry-Over),Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Thomas Yeung, Engineering and Construction Services",tyeung@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2023,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.5225522643935, 43.6115420704535], [-79.5260671345273, 43.6107903613075], [-79.527038882113, 43.6131414330491], [-79.5270458692485, 43.6131686246865], [-79.5270525299998, 43.6132139092548], [-79.5270573412404, 43.6132512280034], [-79.5270541619114, 43.6132891787423], [-79.5270226116429, 43.6133265240939], [-79.5269581565048, 43.6133643272715], [-79.5268759557149, 43.6133918189587], [-79.5236462483383, 43.6141320442004]]]}"
58,1916813, ,2022-07-22,Laneway Reconstruction,[116.70 m W] RONCESVALLES AVE<br> From: GEOFFREY ST<br> To: GRENADIER RD ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q2 2025 - Q4 2025,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.4514451805993, 43.6476871556254], [-79.4515951399121, 43.6480977804842], [-79.4517427017002, 43.6485017971034]]]}"
59,1916893, ,2022-07-22,Laneway Reconstruction,SKEENS LANE<br> From: THIRTIETH ST<br> To: [41 m]E THIRTIETH ST ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q2 2026 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Azizul Haque, Engineering and Construction Services",ahaque@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.5291908899106, 43.5958887198638], [-79.529934532359, 43.5957153757249]]]}"
60,1919803, ,2022-07-26,Local Road Rehabilitation,BOUCHETTE ST<br> From: COMMISSIONERS ST<br> To: [S] LAKE SHORE BLVD E [BRANCH] ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",2025,Active,None,Transportation Services,"Christy Manoharan, Engineering and Construction Services",cmanoha@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.3400641226648, 43.6506555458654], [-79.341963236941, 43.6530131132065]]]}"
61,1936943, ,2022-08-18,Laneway Reconstruction,NUNES LANE<br> From: MC FARLAND AVE<br> To: VIA ITALIA ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Lucas Da Costa, Engineering and Construction Services",ldacost@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.4425101582618, 43.673247569697], [-79.4437645179198, 43.6729581349581]]]}"
62,1946273, ,2022-08-29,Laneway Reconstruction,[36 m N] BLOOR ST W<br> From: BRENTWOOD (N) RD<br> To: [157 m E] BRENTWOOD (N) RD ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q2 2026 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Azizul Haque, Engineering and Construction Services",ahaque@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.5139379667209, 43.6472917811464], [-79.5121162813672, 43.6476911723127]]]}"
63,1946277, ,2022-08-29,Laneway Reconstruction,[45.70 m E] BEECH AVE<br> From: CEDAR AVE<br> To: PINE AVE ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q2 2026 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Augustine Anifowose, Engineering and Construction Services",aanifow@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.2875937208785, 43.674543323986], [-79.2879796582391, 43.6754832201276], [-79.2883565320521, 43.6764082458593]]]}"
64,1946281, ,2022-08-29,Local Road Reconstruction,HOLLAMAN RD<br> From: GLEN PARK AVE<br> To: [40 m N] GLEN PARK AVE ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q2 2026 - Q2 2027,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Matthew McAinsh, Engineering and Construction Services",mmcains@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.4294173872541, 43.7130262491248], [-79.4298163688248, 43.713266387425]]]}"
65,1946317, ,2022-08-29,Laneway Reconstruction,[37 m S] EGLINTON AVE W<br> From: SCOTT RD<br> To: [83 m E] KEELE ST ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",2026 - Q3 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Angela Au, Engineering and Construction Services",aau2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.4725949892088, 43.6903503685642], [-79.4730713980564, 43.690232096715], [-79.4730302392909, 43.6900932059788], [-79.4742980003073, 43.6898074367886]]]}"
66,1946320, ,2022-08-29,Laneway Reconstruction,[33.50 m E] EMERSON AVE<br> From: [30.50 m N] WALLACE AVE<br> To: ARMSTRONG AVE ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q2 2026 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Augustine Anifowose, Engineering and Construction Services",aanifow@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.4419968763231, 43.6632356139409], [-79.4420207671826, 43.6633025150236], [-79.4421819084151, 43.6637535367856]]]}"
67,1946326, ,2022-08-29,Laneway Reconstruction,[30.50 m W] OSSINGTON AVE<br> From: BADEN ST<br> To: [30.20 m N] BADEN ST ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q2 2026 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Augustine Anifowose, Engineering and Construction Services",aanifow@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.4216355315554, 43.6500756097822], [-79.421591252616, 43.6500841307132], [-79.4217053489407, 43.6503902461918]]]}"
68,1946328, ,2022-08-29,Laneway Reconstruction,[30.50 m N] WALLACE AVE<br> From: [33.50 m E] EMERSON AVE<br> To: EMERSON AVE ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q2 2026 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Augustine Anifowose, Engineering and Construction Services",aanifow@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.4425523348517, 43.6631192100524], [-79.4419968763231, 43.6632356139409]]]}"
69,1948539, ,2022-08-31,Local Road Rehabilitation,FERNWOOD PARK AVE<br> From: FIR AVE<br> To: HAZEL AVE ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",Q2 2026 - Q4 2026,Active,None,Transportation Services,"Augustine Anifowose, Engineering and Construction Services",aanifow@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.2881650445252, 43.6703271470925], [-79.28817907089, 43.6704078969828], [-79.288402242705, 43.6709805696214], [-79.2884127267979, 43.6710213830359], [-79.2883999949919, 43.6710697145906], [-79.2883572749416, 43.6711330318403], [-79.2883355382896, 43.6711677547129], [-79.2883289174626, 43.6711991660805], [-79.2884618675573, 43.6714813967029]]]}"
70,1948541,TS2023-19-335,2022-08-31,Local Road Reconstruction,HAZEL AVE<br> From: BALSAM AVE<br> To: FERNWOOD PARK AVE ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q2 2026 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Augustine Anifowose, Engineering and Construction Services",aanifow@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.2896188795919, 43.6714184253652], [-79.2891267682332, 43.6715303412211], [-79.289059313165, 43.6715463831445], [-79.2889869526682, 43.671546735665], [-79.2889265184488, 43.6715480553011], [-79.2888219369274, 43.6715423263308], [-79.2887122339102, 43.6715401163179], [-79.2886268184318, 43.6715289677902], [-79.2885766148691, 43.6715232491197], [-79.2884618675573, 43.6714813967029]]]}"
71,1948609, ,2022-08-31,Local Road Reconstruction,HAZEL AVE<br> From: FERNWOOD PARK AVE<br> To: BEECH AVE ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q2 2026 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Augustine Anifowose, Engineering and Construction Services",aanifow@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.2884618675573, 43.6714813967029], [-79.2879610368349, 43.6716000333949], [-79.2872199949479, 43.6717511208522]]]}"
72,1969725, ,2022-09-27,Laneway Reconstruction,[28.60 m W] YORK ST<br> From: [52 m S] RICHMOND ST W<br> To: RICHMOND ST W ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q2 2025 - Q2 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.3851110950526, 43.6503416018767], [-79.3848953663775, 43.64980495776]]]}"
73,2046073, ,2023-01-27,Laneway Reconstruction,[38 m N] DONALD AVE<br> From: [32 m W] SILVERTHORN AVE<br> To: [47 m E] KANE AVE ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Angela Au, Engineering and Construction Services",aau2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.4671336457099, 43.686675497844], [-79.4673096427629, 43.6866364736512], [-79.4676657305379, 43.6865564993309]]]}"
74,2046114, ,2023-01-27,Laneway Reconstruction,[28 m W] SILVERTHORN AVE<br> From: [23 m N] DONALD AVE<br> To: TROWELL AVE ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Angela Au, Engineering and Construction Services",aau2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.4673242918845, 43.6871392276457], [-79.4672133099173, 43.6868702189207], [-79.4671336457099, 43.686675497844], [-79.4670750034543, 43.68653218921]]]}"
75,2053910,TS2023-09-011,2023-02-13,Local Road Rehabilitation,ASCOT AVE<br> From: DUFFERIN ST<br> To: ST CLAIR GDNS ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",2026,Active,None,Transportation Services,"Lucas Da Costa, Engineering and Construction Services",ldacost@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.4439547809527, 43.6801495447553], [-79.4454150086383, 43.679822891565], [-79.4459694918064, 43.6796988558402]]]}"
76,2053915, ,2023-02-13,Local Road Rehabilitation,MACPHERSON AVE<br> From: [15.20 m W] DAVENPORT RD<br> To: HURON ST ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",2026,Active,None,Transportation Services,"Lucas Da Costa, Engineering and Construction Services",ldacost@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.4040959591214, 43.6765933129411], [-79.4051682329097, 43.6763638637588]]]}"
77,2053925,TS2023-09-011,2023-02-13,Local Road Rehabilitation,ASCOT AVE<br> From: NAIRN AVE<br> To: HARVIE AVE ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",2026,Active,None,Transportation Services,"Lucas Da Costa, Engineering and Construction Services",ldacost@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.4495473897519, 43.6789139380494], [-79.4507281001739, 43.6786565653648]]]}"
78,2053943, ,2023-02-13,Local Road Rehabilitation,MACPHERSON AVE<br> From: WALMER RD<br> To: KENDAL AVE ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",2026,Active,None,Transportation Services,"Lucas Da Costa, Engineering and Construction Services",ldacost@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.4086770688533, 43.6756331312206], [-79.4092068145149, 43.6755228459601], [-79.4095428699455, 43.675452857072], [-79.4096177186593, 43.6754334014128], [-79.4096551328811, 43.67542628394], [-79.409678105805, 43.6754229716053], [-79.4097122214199, 43.6754239526964]]]}"
79,2053946,TS2023-09-011,2023-02-13,Local Road Rehabilitation,ASCOT AVE<br> From: ST CLAIR GDNS<br> To: BOON AVE ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",2026,Active,None,Transportation Services,"Lucas Da Costa, Engineering and Construction Services",ldacost@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.4459694918064, 43.6796988558402], [-79.446508364338, 43.6795814980961], [-79.4471291691785, 43.6794463081232]]]}"
80,2053955, ,2023-02-13,Local Road Rehabilitation,BRIDGMAN AVE<br> From: DARTNELL AVE<br> To: [15 m W] DARTNELL AVE ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",2026,Active,None,Transportation Services,"Lucas Da Costa, Engineering and Construction Services",ldacost@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.4115365800885, 43.6750145947858], [-79.4117988868482, 43.6749637149778]]]}"
81,2053962, ,2023-02-13,Local Road Rehabilitation,MACPHERSON AVE<br> From: HURON ST<br> To: MADISON AVE ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",2026,Active,None,Transportation Services,"Lucas Da Costa, Engineering and Construction Services",ldacost@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.4051682329097, 43.6763638637588], [-79.4063298357469, 43.6761221369325]]]}"
